,Company,Company Html,Opening Job,Opening Job Html,Job's Content
0,"財團法人食品工業發展研究所_食品所
                    ",https://www.104.com.tw/company/li22ti0?jobsource=hotjob_chr,技推中心-研究員及副研究員【資訊專長人才】,https://www.104.com.tw/job/7aqzs?jobsource=hotjob_chr,資料系統架構規劃與流程處理、數位工具的設計與應用、數據傳輸整合圖像化
1,"翰成數位科技股份有限公司
                    ",https://www.104.com.tw/company/ck0s028?jobsource=jolist_c_relevance,資訊中心 - 大數據分析師,https://www.104.com.tw/job/6z9c7?jobsource=jolist_c_relevance,"翰成數位科技專攻直播短影音新媒體、耗時多年開發的短影音推薦引擎，將於2021年Q3推出嗨吧 APP 、超過 1300坪全台第一座直播產業基地即將啟動，基地建置9 間專業攝影棚，專攻短影音、直播場景銷售營造。

透過直播、短影音內容推播，串連實體商家、電商、娛樂、知識、創造流量變現，發展直播短影音生態圈。我們有多個業務職缺正在尋求好手 ~

想挑戰自己走在直播短影音新媒體時代的尖端、我們歡迎您一起來挑戰 !

職務說明 :
1. 透過演算法、數據分析或用戶行為分析，提升公司產品價值。
2. 負責根據業務與商業需求建立模型、算法、預測等資料串流情境，提供解決方案。
3. 進行模型程式開發、優化及版控，含工作流程自動化的規劃。
4. 執行主管交辦事項與專案。
5. 態度積極、重視團隊合作，具協調溝通能力，樂於分享討論。
數據探勘
數據研究報告撰寫
數據資料庫維運
應用大數據分析系統做消費者行為分析
將資料視覺化"
2,"鼎漢國際工程顧問股份有限公司
                    ",https://www.104.com.tw/company/aryy6o0?jobsource=jolist_c_relevance,數據師、大數據分析師(臺北市信義區),https://www.104.com.tw/job/7cfoj?jobsource=jolist_c_relevance,"1.交通數據分析、資料庫開發管理 

2.以統計、資訊及數學相關科系優先 

3.熟悉工具與程式：R、SAS、PYTHON、MYSQL、MSSQL、HADOOP

其它說明：需出差、需外派"
3,"新加坡商晚安有限公司台灣分公司
                    ",https://www.104.com.tw/company/1a2x6blamp?jobsource=jolist_c_relevance,資料數據分析師 Data analyst,https://www.104.com.tw/job/750o4?jobsource=jolist_c_relevance,"Goodnight 2015 年底正式上線，Goodnight 致力於創造一個富有驚喜的交友體驗，希望專注在「聲音」而不是「照片」來認識新朋友。使用者能根據自己的喜好來配對，並和配對者進行語音聊天，一次7分鐘。

在短短四年內，Goodnight 已成功打入五個市場，曾在許多國家榮登 Google Play 交友榜首，至今已有註冊用戶800萬人。以規模而言，目前已經是亞洲最大的聲音交友軟體。

Goodnight 深受年輕用戶的青睞。Goodnight 每天能產生40萬通配對電話，最高在線人數也曾超過1萬人，每三分鐘就能找到一個真人一對一電話聊天。

團隊成員就像好朋友一樣，聰明工作、玩到壞掉，是我們的宗旨，來 Goodnight，你可以有機會執行所有你想嘗試的Idea，無論是產品端、行銷端，甚至還可以跨領域學習、跨國家操作，跟著大家一起指數成長，絕對讓你感受到幸福又充滿挑戰的工作環境。

【職位需求】
• 兩年以上資料分析經驗
• 熟悉下列任一種分析語言 R/Python/SAS
• 熟悉SQL 語言
• 熟悉資料分析/建模流程

【工作描述】
• 與產品、設計團隊合作，分析產品功能有效性。
• 與主管報告產品關鍵指標。
• Data Team ETL 維運。
•Data Team Server監控。

【加分項目】
• 有實際使用過AWS EC2/Google BigQuery。
• 統計、機器學習、深度學習理論與應用結合。"
4,"英屬安吉拉商多重宙有限公司
                    ",https://www.104.com.tw/company/1a2x6blngm?jobsource=jolist_c_relevance,資料分析師 Data Analyst,https://www.104.com.tw/job/7bzyo?jobsource=jolist_c_relevance,"公司的核心價值即我們的信念
新穎的價值觀宛如我們的DNA，是做決定時最初的源頭。
◆ 永保好奇
(太空人在地球上是安全的，但去外太空才是他們的意義）
◆ 勇於當責
(所有人都能誇口他們擁有星星，唯獨你有能力觸及星星)
◆ 公開透明
(記得我們在同一片天空下，看著同一顆月亮)
◆ 創始人心志
(親自操控你的火箭)
◆ 以團隊之姿打勝仗
(我們每一個人都像一顆星星，但聚在一起就成為浩瀚的銀河)

我們以行動來實踐價值觀於以下三點

1. 雇用對的人選
2. 與同事保持良好溝通
3. 做出正確的決定

致力於提供DTC(Direct To Customer)的電商服務平台，包含採購、訂製、倉儲管理、包裝運送到售後服務，讓賣家只需專注在銷售上！

------------------------------------------------

✓ 主要責任：

☞ 數據分析 – 主動進行各種數據追蹤和分析，針對商業問題提出數據產出、評估與應用，並持續優化與修正。建立全面、準確的經營管理成效衡量指標，幫助電商洞察經營數據，提供有效的決策支援。

☞ 需協助定義業務問題、需求訪談。我們所面臨的商業目標會涵蓋各大市場面向，非常有趣且有挑戰性。

☞ 需要與行銷和業務端合作執行各種實驗，確保我們做出來的數據產品產出能符合行銷與業務效益。

 ☞ 數據專案 – 參與產品專案中與數據相關的議題，協助定義數據收集與後續分析需求，規劃並推動數據產品，推動公司朝向數據驅動營運的實現。



✓ 要求：

• 熟悉Google Analytics工具，以進行產品數據追蹤與分析。
 • 能夠簡而易懂來說明闡述分析出的數據


✓ 加分：

• 基礎SQL，PostgreSQL、MySQL或其他SQL資料庫
• Airtable經驗
• Python "
5,"鼎漢國際工程顧問股份有限公司
                    ",https://www.104.com.tw/company/aryy6o0?jobsource=jolist_c_relevance,數據師、大數據分析師(臺中市北區),https://www.104.com.tw/job/7cfpz?jobsource=jolist_c_relevance,"1.交通數據分析、資料庫開發管理 
2.以交通、統計、資訊及數學相關科系優先 
3.熟悉工具與程式：R、SAS、PYTHON、MYSQL、MSSQL、HADOOP

其它說明：需出差、需外派"
6,"優聘資訊科技有限公司
                    ",https://www.104.com.tw/company/1a2x6bktpo?jobsource=jolist_c_relevance,[TCXY03] 資料分析師_Data analyst,https://www.104.com.tw/job/71wcb?jobsource=jolist_c_relevance,"【代企業徵才，錄取後為該企業正職員工】

工作職責：
1. 針對平台數據內容，進行數據整理及分析。
2. 依需求將數據及資訊視覺化並說明分析結果。
3. 提供建議及後續成效評估。

企業福利與介紹：
-公司營運穩定，年終平均發放2~3個月，三節額外發放禮金/禮品
-年輕活潑的開發團隊，技術組織架構規劃完整
-提供高額外部課程與訓練補助費用
-地點位於台中市北區，明亮整潔的商辦大樓與辦公空間

--------------------------------【Insula遊戲評測】--------------------------------

想知道自己在職場的強項優勢在哪嗎？
充滿創意、善於變通還是邏輯清晰呢？
投遞履歷前請使用手機進入以下網址進行遊戲評測，
一同發掘你的關鍵技能與能力！

https://lobby.insula.ai/?env=activ&activ_type=104
(欲參與面試者請於遊戲結束後，務必點擊【了解更多】，填入真實姓名)
------------------------------------------------------------------------------------------"
7,"立樂高園股份有限公司
                    ",https://www.104.com.tw/company/1a2x6bj6wg?jobsource=jolist_c_relevance,(日文)數據分析師 Data Analyst (SQL)ー超知名社群平台(15457),https://www.104.com.tw/job/7c9yb?jobsource=jolist_c_relevance,"台灣超知名匿名社群平台，招募「數據分析師 Data Analyst (SQL)」！
主要負責日本團隊之數據分析，會接觸到許多日文數據資料。

【具體工作內容】
・因應公司戰略營運方針進行用戶行為分析，並提出產品優化建議。
・收集、分析與整併各方數據製作報表，協助並滿足產品端於數據面資料的需求。
・協助線上 / 線下行銷活動數據分析、活動成效管理與調整。

【魅力】
・台灣最大匿名社群平台之一，團隊集結各方年輕菁英！
・年輕世代的主流社群平台，目前已拓展至海外，發展成長性高！
・組織較年輕，風氣自由，內部氣氛良好，能夠發揮所長
・能夠活用中英日文的工作環境

【福利制度】
＜法定＞ 
勞健保
加班費 
各種休假(特別休假、婚假、喪假、生理假、產檢假、陪產假、產假、育嬰假) 
退休金

＜公司福利＞ 
・工作配備 ：24 吋螢幕，Sonos 音響，舒適明亮的工作環境。
・點心吧：美式雙門大冰箱，無限量零食飲料，膠囊咖啡機，堅持午後紅茶等級的飲食標準。
・學習基金 ：講座，會議與購書補助，一起學習成長。
・員工活動 ：節慶派對， 午餐日，尾牙，員工旅遊，我們重視每個相聚的時光。
・年假與勞健保：優於勞基法的年假，優於產業的勞健保制度，體貼每一個重要的需求。


【更多職缺】
https://www.reeracoen.tw/zh-tw/jobs/search"
8,"科達製藥股份有限公司
                    ",https://www.104.com.tw/company/a7v8bmg?jobsource=jolist_c_relevance,(生產部)大數據分析師,https://www.104.com.tw/job/7b2x2?jobsource=jolist_c_relevance,"1. 產線各項資料之處理程序，整理、檢視、分析資料，並撰寫結果報告。
2.標準化流程分析及制定
3.調查數據的彙整、除錯，並撰寫分析建議報告。
4. 供應鏈管理優化"
9,"福清營造股份有限公司
                    ",https://www.104.com.tw/company/o1voca8?jobsource=jolist_c_relevance,資料分析師(總部),https://www.104.com.tw/job/72klv?jobsource=jolist_c_relevance,"1.以EXCEL建置數據資料庫。 

2.配合需求製作各項EXCEL報表。 

3.分析平台資料，提出異常報告。"
